Stock Id,Nombre de la oportunidad,Fecha y Hora PO,Lugar origen de servicio logístico: Nombre,Transaction Id,Etapa,Fecha de compra,Funnel TAS,SL,Fecha PL,Location PL ,Fecha de creacion ,Fecha finalizacion ,LT creado - finalizado (hrs),On time,Proveedor,Region ,Isoweek compra,Mes recolección,Destino,PL,Ticket,Fecha ticket,Revision de casos,LT solicitado vs comprado,creacion - finalizacion ,Local / interestatal,Agente que realiza la compra: Nombre completo,BULK O TAS,Aging desde Compra,creacion Ticket vs SL Finalizado,Comprado vs finalizado,Fecha publicado,Region origen de servicio logístico,Primera publicacion, Days to published,SLA,DESTINO CORRECTO,Location actual,COST,COST,RUTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489539,GRUPO MEGA-MEGA ALIADO,"23/02/2026, 16:37",Aliado - Nissan Toluca,54959231,Cerrado,23/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,9,2,,,No solicitado,,,,,,Josué Cortés,TAS,0.0,,,,CDMX PONIENTE,,No published,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Ismo - Chirey Norte,
489489,GRUPO CONTINENTAL-BYD INTERLOMAS,"23/02/2026, 14:53",EDOMEX - Interlomas,54930942,Pago,23/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,9,2,,,No solicitado,,,,,,Juan Nolasco,TAS,0.0,,,,CDMX PONIENTE,,No published,,,Interlomas,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - BYD Metepec,Aliado - Grupo Ismo - Chirey Norte
489495,GRUPO ISMO-CHIREY NORTE,"23/02/2026, 14:39",Aliado - Grupo Ismo - Chirey Norte,54987067,Cerrado,23/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,9,2,,,No solicitado,,,,,,Victor Elizaldegarcia,TAS,0.0,,,,,,No published,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Nissan Toluca,Aliado - BYD Metepec
489519,GRUPO PREMIER-MERCEDESBENZ HERMOSILLO,"23/02/2026, 13:59",Aliado - Chevrolet Hermosillo,54785763,Pago,23/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,9,2,,,No solicitado,,,,,,FRANCISCO EMANUEL CAMARGO DUARTE,TAS,0.0,,,,,,No published,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Coapa,Aliado - Nissan Toluca
489476,GRUPO CONTINENTAL-GWM METEPEC,"23/02/2026, 13:57",Aliado - BYD Metepec,54999072,Cerrado,23/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,9,2,,,Solicitado,23/2/2026 14:11:14,,0.2,,,Arturo Fernández,TAS,2.0,,,,,,No published,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Coapa,Aliado - Kia Coapa
489156,GRUPO MEGA-MEGA ALIADO,"21/02/2026, 16:22",Aliado - Nissan Toluca,54984155,Cerrado,21/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,23/2/2026 10:43:03,,42.4,,,Josué Cortés,TAS,2.0,,,,CDMX PONIENTE,,No published,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Nissan Metepec,Aliado - Nissan Metepec
489150,GRUPO CONTINENTAL-KIA ALIADO,"21/02/2026, 16:16",Aliado - Kia Coapa,54964222,Cerrado,21/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,No solicitado,,,,,,Cristian Martinezde,TAS,2.0,,,,CDMX SUR,,No published,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Coapa,Aliado - Changan Zaragoza
489152,GRUPO CONTINENTAL-BYD INTERLOMAS,"21/02/2026, 16:16",EDOMEX - Interlomas,54943387,Cerrado,21/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,23/2/2026 15:07:08,,46.9,,,Juan Nolasco,TAS,2.0,,,46074.7,CDMX PONIENTE,2026-02-21 16:36:09.468000,0.3,,,Interlomas,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Nissan Metepec,Aliado - Kia Tlahuac
489144,GRUPO CONTINENTAL-KIA ALIADO,"21/02/2026, 16:05",Aliado - Kia Coapa,54862718,Cerrado,21/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,No solicitado,,,,,,Cristian Martinezde,TAS,2.0,,,,CDMX SUR,,No published,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Changan Zaragoza,Aliado - Grupo Continental - Hyundai Patriotismo
489138,GRUPO TOLLOCAN-TOLLOCAN ALIADO,"21/02/2026, 15:45",Aliado - Nissan Metepec,54936474,Cerrado,21/2/2026,Recolectado,Finished,Sin PL,Sin PL,23/2/2026 10:30:09,23/2/2026 14:48:09,4.30,On time,Externo,CDMX Poniente,8,2,WH - Lerma 2,,Solicitado,23/2/2026 9:50:55,,42.1,2.0,Local,Cesar Salazar,TAS,2.0,5.0,58.5,46074.7,,,No published,,,WH - Lerma 2,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Tlahuac,Aliado - Grupo Continental - Gwm Santa Fe
489109,GRUPO CONTINENTAL-KIA COAPA,"21/02/2026, 15:01",Aliado - Kia Coapa,54932617,Cerrado,21/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,No solicitado,,,,,,Cristian Martinezde,TAS,2.0,,,,CDMX SUR,,No published,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Nissan Metepec,Aliado - Grupo Mega - Nissan Toluca
489470,GRUPO SONI-GEELY PACHUCA,"21/02/2026, 14:35",CDMX - Plaza Fortuna,54905630,Cerrado,21/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,No solicitado,,,,,,Omar Islasgomez,TAS,2.0,,,46076.6,CDMX CENTRO,,No published,,,Plaza Fortuna,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Continental - Hyundai Patriotismo,Aliado - Hyundai Cuatitlan
489090,GRUPO CONTINENTAL-HYUNDAI INTERLOMAS,"21/02/2026, 14:31",EDOMEX - Interlomas,54594156,Cerrado,21/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,23/2/2026 12:07:59,,45.6,,,Juan Nolasco,TAS,2.0,,,46074.6,CDMX PONIENTE,2026-02-21 14:51:14.014000,0.3,,,En tránsito,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Changan Zaragoza,
489078,GRUPO TOLLOCAN-TOLLOCAN ALIADO,"21/02/2026, 14:08",Aliado - Nissan Metepec,54962592,Cerrado,21/2/2026,Recolectado,Finished,Sin PL,Sin PL,23/2/2026 12:13:37,23/2/2026 18:00:11,5.78,On time,Kavak,CDMX Poniente,8,2,WH - Lerma 2,,Solicitado,23/2/2026 9:44:32,,43.6,2.2,Local,Cesar Salazar,TAS,2.0,8.3,60.2,,,,No published,,,WH - Lerma 2,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Continental - Gwm Santa Fe,
489051,GRUPO ANDRADE-MG AEROPUERTO,"21/02/2026, 13:15",Aliado - Changan Zaragoza,54931585,Cerrado,21/2/2026,Recolectado,Finished,Sin PL,Sin PL,21/2/2026 15:34:15,23/2/2026 16:09:26,48.59,On time,Externo,CDMX CENTRO,8,2,Plaza Fortuna,,Solicitado,21/2/2026 15:27:34,,2.2,2.1,Local,Erick Carlon,TAS,2.0,48.7,15.6,,,,No published,,,Plaza Fortuna,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Continental - Gwm Santa Fe,
